Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: FAM111A; id: 63901;	615292	Fetal	SNV		"{""id"":""chr11"",""data"":""58,910,329-58,922,512""}"	Gracile bone dysplasia, 602361 (3), Autosomal dominant, Kenny-Caffey syndrome, type 2, 127000 (3), Autosomal dominant	602361	AD	SKELETAL	Hydrocephalus	M,F	Known	30993004; 9511974; 16770805			x	x
name: FAM20C; id: 56975;	611061	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""192570_300738""}"	Raine syndrome	259775	AR	MULTIPLE >3	brachycephaly, exophthalmos, short nose with depressed root, broad clavicles, belt-shaped thorax, increased density of long bones and base of the skull, brain calcifications. Prenatal and Neonatal demise.	M,F	Emerging	29261186				x
name: FANCB; id: 2187;	300515	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""14,861,527-14,891,191""}"	Fanconi anemia, complementation group B, 300514 (3)	300514	XLR	MULTIPLE >3		M	Known	30993004; 28801981				x
name: FANCL; id: 55120;	608111	Fetal	SNV		"{""id"":""chr2"",""data"":""58,386,378-58,468,515""}"	Fanconi anemia, complementation group L, 614083 (3), Autosomal recessive	614083	AR	MULTIPLE >3		M,F	Known	30993004; 28801981		x	x	x
name: FARS2; id: 10667;	611592	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""5,261,240-5,771,816""}"	Combined oxidative phosphorylation deficiency 14, 614946 (3), Autosomal recessive, Spastic paraplegia 77, autosomal recessive, 617046 (3), Autosomal recessive	614946	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 22833457; 22833457; 37523899				x
name: FBLN5; id: 10516;	604580	Fetal	SNV		"{""id"":""chr14"",""data"":""92,335,755-92,414,038""}"	Cutis laxa	219100	AR	NEUROMUSCULAR		M,F	Known	30993004; 949858				x
name: FBN1; id: 2200;	134797	Fetal	CNV,SNV	LoF, ex24-32	"{""id"":""chr15"",""data"":""48,700,503-48,937,985""}"	Acromicric dysplasia, 102370 (3), Autosomal dominant, Ectopia lentis, familial, 129600 (3), Autosomal dominant, Geleophysic dysplasia 2, 614185 (3), Autosomal dominant, MASS syndrome, 604308 (3), Marfan lipodystrophy syndrome, 616914 (3), Autosomal dominant, Marfan syndrome, 154700 (3), Autosomal dominant, Stiff skin syndrome, 184900 (3), Autosomal dominant, Weill-Marchesani syndrome 2, dominant, 608328 (3), Autosomal dominant	154700	AD	CARDIOVASCULAR	 dilated aortic sinus, severe pulmonary hypertension. Prenatal and Neonatal demise.	M,F	Known	33578525				x
name: FBN2; id: 2201;	612570	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""127593600_127994878""}"	contractural arachnodactyly congenital	121050	AD	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	32786180; 25558065		x	x	
name: FBP1; id: 2203;	611570	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""97,365,415-97,402,545""}"	Fructose-1,6-bisphosphatase deficiency, 229700 (3), Autosomal recessive	229700	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 4193749; 4335192				x
name: FBXL4; id: 26235;	605654	Fetal	SNV		"{""id"":""chr6"",""data"":""99,316,411-99,395,822""}"	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type), 615471 (3), Autosomal recessive	615471	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 23993193; 23993194				x
name: FCN3; id: 8547;	604973	Fetal	SNV		"{""id"":""chr1"",""data"":""27,695,601-27,701,315""}"	Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive	613860	AR	IMMUNOLOGIC	Neonatal Death. 	M,F	Known	30993004; 20971976				x
name: FCRL4; id: 83417;	605876	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""157543536_157567875""}"					Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: FEN1; id: 2237;	600393	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""61560108_61564716""}"					Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: FERMT3; id: 83706;	607901	Fetal	SNV		"{""id"":""chr11"",""data"":""63,973,392-63,991,363""}"	Leukocyte adhesion deficiency, type III, 612840 (3), Autosomal recessive	612840	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 12595312				x
name: FGA; id: 2243;	134820	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""155504277_155511918""}"	Afibrinogenemia	202400	AR		Prenatal and Neonatal demise.	M,F	Emerging	31273585		x	x	
name: FGF12; id: 2257;	601513	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""191857179_192485553""}"	Developmental and epileptic encephalopathy, Brugada syndrome	617166	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624	x	x	x	x
name: FGFR1; id: 2260;	136350	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""38,268,661-38,326,153""}"	Hartsfield syndrome, 615465 (3), Autosomal dominant, Hypogonadotropic hypogonadism 2 with or without anosmia, 147950 (3), Autosomal dominant, Jackson-Weiss syndrome, 123150 (3), Autosomal dominant, Osteoglophonic dysplasia, 166250 (3), Autosomal dominant, Pfeiffer syndrome, 101600 (3), Autosomal dominant, Trigonocephaly 1, 190440 (3), Autosomal dominant	615465	AD	MULTIPLE >3	Intrauterine growth restriction, Holoprosencephaly	M,F	Known	30993004; 1342859; 38679587		x	x	x
name: FGFR2 ; id: 2263;	176943	Fetal	SNV		"{""id"":""chr10"",""data"":""123,237,844-123,357,972""}"	Pfeiffer syndrome; Crouzon syndrome 	101600; 123500	AD	MULTIPLE >3	Ectrodactyly, Congenital cystic adenomatoid malformation of the lung, Abnormal facial shape, Syndactyly, Oligodactyly, Pulmonary hypoplasia, Abnormal lung lobation,. Prenatal and Neonatal demise.	M,F	Emerging	36658419	x	x	x	x
name: FGFR3; id: 2261;	134934	Fetal	SNV		"{""id"":""chr4"",""data"":""1795019_1810599""}"	Achondroplasia, 100800 (3), Autosomal dominant, CATSHL syndrome, 610474 (3), Autosomal recessive, Autosomal dominant, Crouzon syndrome with acanthosis nigricans, 612247 (3), Autosomal dominant, Hypochondroplasia, 146000 (3), Autosomal dominant, LADD syndrome, 149730 (3), Autosomal dominant, Muenke syndrome, 602849 (3), Autosomal dominant, SADDAN, 616482 (3), Autosomal dominant, Thanatophoric dysplasia, type I, 187600 (3), Autosomal dominant, Thanatophoric dysplasia, type II, 187601 (3), Autosomal dominant	187601; 187600	AD	SKELETAL	skeletal dysplasia; nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Known	34358384; 23551490				x
name: FHL1; id: 2273;	300163	Fetal	SNV		"{""id"":""chrX"",""data"":""135,228,861-135,293,518""}"	Emery-Dreifuss muscular dystrophy 6, X-linked, 300696 (3), X-linked recessive, Myopathy, X-linked, with postural muscle atrophy, 300696 (3), X-linked recessive, Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset, 300717 (3), X-linked dominant, Reducing body myopathy, X-linked 1b, with late childhood or adult onset, 300718 (3), X-linked, Scapuloperoneal myopathy, X-linked dominant, 300695 (3), X-linked dominant	300717; 300718	XLD	MUSCULAR		M,F	Known	30993004; 17099882; 19171836; 4117299				x
name: FHOD3; id: 80206;	609691	Unknown	CNV,SNV	Undetermined	"{""id"":""chr18"",""data"":""36,297,713-36,780,220""}"	Cardiomyopathy, familial hypertrophic, 28	619402	AD	CARDIOVASCULAR	Spontaneous miscarriage	unknown	Candidate	37398382		x	x	x
name: FIG4; id: 9896;	609390	Fetal	SNV		"{""id"":""chr6"",""data"":""110,012,499-110,146,629""}"	 Yunis-Varon syndrome	216340	AR	NEUROLOGIC		M,F	Known	30993004; 2319578; 11078567; 7496176				x
name: FKBP8; id: 23770;	604840	Fetal	SNV	Undetermined	"{""id"":""chr19"",""data"":""18642560_18654887""}"				MULTIPLE >3	severe thoracolumbar scoliosis with segmentation defects, absence of visible ribs. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: FKRP; id: 79147;	606596	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""47,249,314-47,261,832""}"	Muscular dystrophy-dystroglycanopathy	613153	AR	MUSCULAR	Prenatal and Neonatal demise.	M,F	Known	20236121				x
name: FKTN; id: 2218;	607440	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""108320410_108403399""}"	Cardiomyopathy, dilated; Muscular dystrophy-dystroglycanopathy 	253800	AR	SKELETAL	Bilateral ventriculomegaly, abnormal cerebellum, absent vermis, absent right lenses, mild pleural effusion and polyhydramnios.. Prenatal and Neonatal demise.	M,F	Emerging	34645488; 34406647	x	x		
name: FLAD1; id: 80308;	610595	Fetal	SNV		"{""id"":""chr1"",""data"":""154,955,820-154,965,587""}"	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 (3), Autosomal recessive	255100	AR	METABOLIC	Neonatal demise	M,F	Known	30993004; 25058219; 27259049				x
name: FLII; id: 2314;	600362	Unknown	CNV,SNV	Undetermined	"{""id"":""chr17"",""data"":""18,244,815-18,259,022""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: FLNA; id: 2316;	300017	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""153576891_153603006""}"	Cardiac valvular dysplasia, X-linked, 314400 (3), X-linked recessive, Congenital short bowel syndrome, 300048 (3), X-linked recessive, FG syndrome 2, 300321 (3), Frontometaphyseal dysplasia 1, 305620 (3), X-linked recessive, Heterotopia, periventricular, 300049 (3), X-linked dominant, Intestinal pseudoobstruction, neuronal, 300048 (3), X-linked recessive, Melnick-Needles syndrome, 309350 (3), X-linked dominant, Otopalatodigital syndrome, type I, 311300 (3), X-linked dominant, Otopalatodigital syndrome, type II, 304120 (3), X-linked dominant, Terminal osseous dysplasia, 300244 (3), X-linked dominant	300048; 305620; 300049; 309350; 311300; 304120; 300244	XLD	MULTIPLE >3	 turicephaly, facial dysmorphism, cleft palate, multiple malformation syndrome. Prenatal and Neonatal demise.	M,F	Known	26404489; 12612583	x	x	x	x
name: FLNB; id: 2317;	603381	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""57994126_58157982""}"	Atelosteogenesis, type I, 108720 (3), Autosomal dominant, Atelosteogenesis, type III, 108721 (3), Autosomal dominant, Boomerang dysplasia, 112310 (3), Autosomal dominant, Larsen syndrome, 150250 (3), Autosomal dominant, Spondylocarpotarsal synostosis syndrome, 272460 (3), Autosomal recessive	108720	AD	MULTIPLE >3	 clubfeet, short limbs, large thumbs. Prenatal and Neonatal demise.	M,F	Emerging	29261186				x
name: FLT1; id: 2321;	165070	Fetal	SNV	Undetermined	"{""id"":""chr13"",""data"":""28874482_29069282""}"				CARDIOVASCULAR	CHD. Prenatal and Neonatal demise.	M,F	Emerging	31273585	x	x	x	
name: FLT4; id: 2324;	136352	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""180028505_180076624""}"	Milroy۪s disease	618780	AD		nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564	x	x	x	x
name: FLVCR2; id: 55640;	610865	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""76044959_76129557""}"	Proliferative vasculopathy & hydranencephaly-hydrocephaly syndrome.	225790	AR	SKELETAL	Arthrogryposis, hydranencephaly, hypoplasia of the cerebellum, abnormality of midbrain morphology, and macrocephaly.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: FOXC2; id: 2303;	602402	Fetal	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""86600434_86603334""}"	Lymphedema-distichiasis syndrome	153400	AD	CARDIOVASCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564	x	x	x	x
name: FOXD1; id: 2297;	601091	Maternal	SNV	Undetermined	"{""id"":""chr5"",""data"":""72740653_72744602""}"	recurrent pregnancy loss, preeclampsia, intrauterine growth restriction				Prenatal and Neonatal demise.	M,F	Emerging	31395028		x	x	
name: FOXP2; id: 93986;	605317	Fetal	SNV	LoF	"{""id"":""chr7"",""data"":""113726381_114333827""}"	Speech-language disorder-1	602081	AD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: FOXP3; id: 50943;	300292	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""49106896_49121386""}"	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790 (3), X-linked recessive	304790	XLR	MULTIPLE >3	hydrops fetalis, bilateral talipes, pulmonary hypoplasia. Prenatal and Neonatal demise.	M,F	Known	30293990				x
name: FOXRED1; id: 55572;	613622	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""126,139,049-126,148,021""}"	Mitochondrial, Mitochondrial complex I deficiency 	252010	AR	METABOLIC	intrauterine growth restriction, neonatal demise.	M,F	Known	30993004; 33613441				x
name: FRAS1; id: 80144;	607830	Fetal	CNV,SNV	Undetermined	"{""id"":""chr4"",""data"":""78978476_79465423""}"	Fraser syndrome 1, 219000 (3), Autosomal recessive	219000	AR	GENITOURINARY	bilateral renal agenesis. Prenatal and Neonatal demise.	M,F	Known	34406647			x	x
name: FREM2; id: 341640;	608945	Fetal	SNV	Undetermined	"{""id"":""chr13"",""data"":""39261213_39461268""}"	Cryptophthalmos, unilateral or bilateral, isolated	123570	AR	GENITOURINARY	Bilateral renal agenesis. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: FZD6; id: 8323;	603409	Fetal	SNV	Undetermined	"{""id"":""chr8"",""data"":""104310660_104345094""}"		161050	AR		Hydrops. Prenatal and Neonatal demise.	M,F	Emerging	26036949		x	x	
name: G6PC1; id: 2538;	613742	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""41,052,814-41,066,450""}"	Glycogen storage disease Ia, 232200 (3), Autosomal recessive	232200	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004;  3422104; 8203427			x	x
name: G6PC3; id: 92579;	611045	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""42148097_42153712""}"	Dursun syndrome	612541	AR	MULTIPLE >3	abnormal heart morphology, ventricular septal defect,  ambiguous genitalia.. Prenatal and Neonatal demise.	M,F	Emerging	34645488	x	x	x	
name: GAA; id: 2548;	606800	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""78075354_78093680""}"	Glycogen storage disease II	232300	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: GAK; id: 2580;	602052	Unknown	CNV,SNV	Undetermined	"{""id"":""chr4"",""data"":""843,065-926,104""}"					Spontaneous miscarriage	unknown	Candidate	37398382			x	x
name: GALC; id: 2581;	606890	Fetal	CNV,SNV	LoF	"{""id"":""chr14"",""data"":""88,399,358-88,460,009""}"	Krabbe disease, 245200 (3), Autosomal recessive	245200	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 10833326; 3123790				x
name: GALNT14; id: 79623;	608225	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""31133330_31378068""}"					First trimester miscarriage.	M,F	Emerging	26036949	x			
name: GALT; id: 2592;	606999	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""34,646,672-34,651,032""}"	Galactosemia	230400	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	4926707; 28579413		x	x	x
name: GART; id: 2618;	138440	Unknown	CNV,SNV	Undetermined	"{""id"":""chr21"",""data"":""33,503,931-33,542,893""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: GATA4; id: 2626;	600576	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""11,561,717-11,617,509""}"	Tetralogy of Fallot	187500	AD	CARDIOVASCULAR	CHD. Prenatal and Neonatal demise.	M,F	Known	36879850; 40430071; 39286212; 30478614; 29896745; 27591345; 27343326; 23696316; 20167067	x	x	x	x
name: GBA1; id: 2629;	606463	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""155,234,452-155,241,249""}"	Gaucher disease, perinatal lethal, 608013 (3), Autosomal recessive, Gaucher disease, type I, 230800 (3), Autosomal recessive, Gaucher disease, type II, 230900 (3), Autosomal recessive, Gaucher disease, type III, 231000 (3), Autosomal recessive, Gaucher disease, type IIIC, 231005 (3), Autosomal recessive	608013; 230800; 230000	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 11359469				x
name: GBE1; id: 2632;	607839	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""81538849_81811312""}"	Glycogen storage disease IV; Polyglucosan body disease	232500; 263570	AR	METABOLIC	polyhydramnios, fetal akinesia. Prenatal and Neonatal demise.	M,F	Known	30303820				x
name: GCSH; id: 2653;	238330	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""81,115,550-81,130,000""}"	Glycine encephalopathy, 605899 (3), Autosomal recessive	605899	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 36190515; 33890291				x
name: GEMIN2; id: 8487;	602595	Unknown	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""39,114,323-39,136,973""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: GFAP; id: 2670;	137780	Fetal	SNV		"{""id"":""chr17"",""data"":""42,980,527-42,992,868""}"	Alexander disease	203450	AD	NEUROLOGIC		M,F	Known	30993004; 11567214; 14557587				x
name: GFM1; id: 85476;	606639	Fetal	CNV,SNV	LoF	"{""id"":""chr3"",""data"":""158,362,317-158,410,360""}"	Combined oxidative phosphorylation deficiency 1	609060	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: GFPT1; id: 2673;	138292	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""69546900_69614386""}"	Myasthenia, congenital, 12, with tubular aggregates	610542	AR	MUSCULAR	IUFD, neonatal deaths with severe hypotonia and arthrogryposis, dysmorphic features. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	x
name: GGCX; id: 2677;	137167	Fetal	SNV		"{""id"":""chr2"",""data"":""85,771,843-85,788,616""}"	Vitamin K-dependent clotting factors, combined deficiency of, 1, 277450 (3), Autosomal recessive	277450	AR	NEUROMUSCULAR		M,F	Known	30993004; 2145029				x
name: GLB1; id: 2720;	611458	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""33038099_33138722""}"	GM1 gangliosidosis	230500	AR	METABOLIC	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564			x	x
name: GLDC; id: 2731;	238300	Fetal	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""6,532,467-6,645,729""}"	Glycine encephalopathy	605899	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	6336599; 7885541; 15557500; 20301531				x
name: GLDN; id: 342035;	608603	Fetal	SNV		"{""id"":""chr15"",""data"":""51,633,852-51,700,197""}"	Lethal congenital contracture syndrome 11, 617194 (3), Autosomal recessive	617194	AR	MUSCULAR	polyhydramnios, neonatal demise	M,F	Known	30993004; 27616481			x	x
name: GLE1; id: 2733;	603371	Fetal	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""128,504,692-128,542,288""}"	Arthrogryposis, lethal, with anterior horn cell disease, 611890 (3), Lethal congenital contracture syndrome 1, 253310 (3), Autosomal recessive	611890; 253310	AR	MUSCULAR	Prenatal and Neonatal demise.	M,F	Known	24961629; 18204449; 24961629		x	x	x
name: GLI2; id: 2736;	165230	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""121,493,444-121,750,229""}"	Culler-Jones syndrome, 615849 (3), Autosomal dominant, Holoprosencephaly 9, 610829 (3), Autosomal dominant	610829	AD	MULTIPLE >3	Holoprosencephaly	M,F	Known	30993004; 14581620; 15971260; 28057877	x	x	x	x
name: GLI3; id: 2737;	165240	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""42,000,547-42,276,808""}"	Greig cephalopolysyndactyly syndrome, 175700 (3), Autosomal dominant, Pallister-Hall syndrome, 146510 (3), Autosomal dominant, Polydactyly, postaxial, types A1 and B, 174200 (3), Autosomal dominant, Polydactyly, preaxial, type IV, 174700 (3), Autosomal dominant	146510	AD	MULTIPLE >3		M,F	Known	30993004; 8182722; 1605268; 40035361	x	x	x	x
name: GLIS3; id: 169792;	610192	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""3,824,127-4,300,068""}"	Diabetes mellitus, neonatal, with congenital hypothyroidism, 610199 (3), Autosomal recessive	610199	AR	NEUROLOGIC		M,F	Known	30993004; 12966531; 16715098				x
name: GLUL; id: 2752;	138290	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""182,347,233-182,360,925""}"	Glutamine deficiency, congenital, 610015 (3), Autosomal recessive	610015	AR	NEUROLOGIC		M,F	Known	30993004; 16267323; 21353613; 27775558	x	x	x	x
name: GNAO1; id: 2775;	139311	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""56,225,401-56,391,356""}"	Epileptic encephalopathy, early infantile, 17, 615473 (3), Autosomal dominant, Neurodevelopmental disorder with involuntary movements, 617493 (3), Autosomal dominant	615473	AD	NEUROLOGIC		M,F	Known	30993004; 27068059				x
name: GNAS; id: 2778;	139320	Fetal	CNV,SNV	LoF	"{""id"":""chr20"",""data"":""57,414,803-57,486,247""}"	ACTH-independent macronodular adrenal hyperplasia, 219080 (3), Isolated cases, Osseous heteroplasia, progressive, 166350 (3), Autosomal dominant, Pseudohypoparathyroidism Ia, 103580 (3), Autosomal dominant, Pseudohypoparathyroidism Ib, 603233 (3), Autosomal dominant, Pseudohypoparathyroidism Ic, 612462 (3), Autosomal dominant, Pseudopseudohypoparathyroidism, 612463 (3), Autosomal dominant	166350	AD	MULTIPLE >3		M,F	Known	30993004; 11001929		x	x	x
name: GNPAT; id: 8443;	602744	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""231,376,958-231,413,719""}"	Rhizomelic chondrodysplasia punctata	222765	AR	SKELETAL	rhizomelia, frontal edema,	M,F	Known	30993004; 1405476; 34110102; 35986576		x	x	x
